time,consensus
2017-06-23,0.26
2017-06-28,0.24
2017-07-03,0.28
2017-07-08,0.33
2017-07-13,0.26
2017-07-18,0.2
2017-07-23,0.18
2017-07-28,0.16
2017-08-02,0.17
2017-08-07,0.24
2017-08-12,0.23
2017-08-17,0.26
2017-08-22,0.26
2017-08-27,0.27
2017-09-01,0.36
2017-09-06,0.35
2017-09-11,0.41
2017-09-16,0.33
2017-09-21,0.35
2017-09-26,0.41
2017-10-01,0.36
2017-10-06,0.5
2017-10-11,0.21
2017-10-16,0.25
2017-10-21,0.3
2017-10-26,0.3
2017-10-31,0.28
2017-11-05,0.36
2017-11-10,0.45
2017-11-15,0.43
2017-11-20,0.46
2017-11-25,0.46
2017-11-30,0.62
2017-12-05,0.46
2017-12-10,0.31
2017-12-15,0.3
2017-12-20,0.35
2017-12-25,0.26
2017-12-30,0.22
2018-01-04,0.19
2018-01-09,0.18
2018-01-14,0.25
2018-01-19,0.14
2018-01-24,0.23
2018-01-29,0.22
2018-02-03,0.19
2018-02-08,0.17
2018-02-13,0.07
2018-02-18,0.13
2018-02-23,0.15
2018-02-28,0.13
2018-03-05,0.18
2018-03-10,0.12
2018-03-15,0.21
2018-03-20,0.16
2018-03-25,0.2
2018-03-30,0.15
2018-04-04,0.1
2018-04-09,0.15
2018-04-14,0.13
2018-04-19,0.17
2018-04-24,0.15
2018-04-29,0.11
2018-05-04,0.06
2018-05-09,0.22
2018-05-14,0.12
2018-05-19,0.13
2018-05-24,0.11
2018-05-29,0.11
2018-06-03,0.08
2018-06-08,0.22
2018-06-13,0.43
2018-06-18,0.52
2018-06-23,0.37
2018-06-28,0.23
2018-07-03,0.13
2018-07-08,0.15
2018-07-13,0.12
2018-07-18,0.09
2018-07-23,0.09
2018-07-28,0.17
2018-08-02,0.39
2018-08-07,0.48
2018-08-12,0.63
2018-08-17,0.65
2018-08-22,0.7
2018-08-27,0.56
2018-09-01,0.6
2018-09-06,0.75
2018-09-11,0.49
2018-09-16,0.36
2018-09-21,0.38
2018-09-26,0.25
2018-10-01,0.18
2018-10-06,0.22
2018-10-11,0.15
2018-10-16,0.14
2018-10-21,0.2
2018-10-26,0.2
2018-10-31,0.23
2018-11-05,0.35
2018-11-10,0.48
2018-11-15,0.64
2018-11-20,0.51
2018-11-25,0.3
2018-11-30,0.34
2018-12-05,0.24
2018-12-10,0.3
2018-12-15,0.37
2018-12-20,0.34
2018-12-25,0.31
2018-12-30,0.3
2019-01-04,0.39
2019-01-09,0.32
2019-01-14,0.22
2019-01-19,0.25
2019-01-24,0.19
2019-01-29,0.17
2019-02-03,0.09
2019-02-08,0.14
2019-02-13,0.17
2019-02-18,0.16
2019-02-23,0.18
2019-02-28,0.14
2019-03-05,0.09
2019-03-10,0.09
2019-03-15,0.12
2019-03-20,0.96
2019-03-25,0.98
2019-03-30,0.98
2019-04-04,0.99
2019-04-09,0.98
2019-04-14,0.99
2019-04-19,0.53
2019-04-24,0.54
2019-04-29,0.57
2019-05-04,0.42
2019-05-09,0.31
2019-05-14,0.29
2019-05-19,0.22
2019-05-24,0.25
2019-05-29,0.1
2019-06-03,0.12
2019-06-08,0.14
2019-06-13,0.15
