time,magnetic,gas_max,gas_min,gas_mean,gas_number,yudamari_number,yudamari_temp,kakouwall_temp,tilt1_NS,tilt1_EW,tilt2_NS,tilt2_EW
2010-04-05,-617.1999999999971,790.0,374.0,606.0,7.0,8.0,60.0,369.0,0.0,0.0,0.0,0.0
2010-04-06,-617.1999999999971,790.0,374.0,606.0,7.0,8.0,60.0,369.0,0.0,0.0,0.0,0.0
2010-04-07,-617.1999999999971,790.0,374.0,606.0,7.0,8.0,60.0,369.0,0.0,0.0,0.0,0.0
2010-04-08,-617.1999999999971,776.0,328.0,568.0,6.0,8.0,60.0,369.0,0.0,0.0,0.0,0.0
2010-04-09,-617.1999999999971,776.0,328.0,568.0,6.0,8.0,60.0,369.0,0.0,0.0,0.0,0.0
2010-04-10,-617.1999999999971,776.0,328.0,568.0,6.0,8.0,60.0,369.0,0.0,0.0,0.0,0.0
2010-04-11,-617.1999999999971,776.0,328.0,568.0,6.0,8.0,60.0,369.0,0.0,0.0,0.0,0.0
2010-04-12,-617.1999999999971,776.0,328.0,568.0,6.0,8.0,60.0,369.0,0.0,0.0,0.0,0.0
2010-04-13,-617.1999999999971,776.0,328.0,568.0,6.0,8.0,60.0,369.0,0.0,0.0,0.0,0.0
2010-04-14,-617.1999999999971,776.0,328.0,568.0,6.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-04-15,-617.1999999999971,776.0,328.0,568.0,6.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-04-16,-617.1999999999971,776.0,328.0,568.0,6.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-04-17,-617.1999999999971,776.0,328.0,568.0,6.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-04-18,-617.1999999999971,776.0,328.0,568.0,6.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-04-19,-617.1999999999971,776.0,328.0,568.0,6.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-04-20,-617.1999999999971,776.0,328.0,568.0,6.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-04-21,-617.1999999999971,776.0,328.0,568.0,6.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-04-22,-617.1999999999971,776.0,328.0,568.0,6.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-04-23,-617.1999999999971,776.0,328.0,568.0,6.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-04-24,-617.1999999999971,776.0,328.0,568.0,6.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-04-25,-617.1999999999971,776.0,328.0,568.0,6.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-04-26,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-04-27,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-04-28,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-04-29,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-04-30,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-05-01,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-05-02,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-05-03,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-05-04,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-05-05,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-05-06,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-05-07,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-05-08,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-05-09,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-05-10,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-05-11,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-05-12,-617.1999999999971,664.0,334.0,507.0,7.0,7.0,63.0,341.0,0.0,0.0,0.0,0.0
2010-05-13,-617.1999999999971,664.0,334.0,507.0,7.0,6.0,71.0,307.0,0.0,0.0,0.0,0.0
2010-05-14,-617.1999999999971,664.0,334.0,507.0,7.0,6.0,71.0,307.0,0.0,0.0,0.0,0.0
2010-05-15,-617.1999999999971,664.0,334.0,507.0,7.0,6.0,71.0,307.0,0.0,0.0,0.0,0.0
2010-05-16,-617.1999999999971,664.0,334.0,507.0,7.0,6.0,71.0,307.0,0.0,0.0,0.0,0.0
2010-05-17,-617.1999999999971,338.0,135.0,269.0,7.0,5.0,72.0,349.0,0.0,0.0,0.0,0.0
2010-05-18,-617.1999999999971,338.0,135.0,269.0,7.0,5.0,72.0,349.0,0.0,0.0,0.0,0.0
2010-05-19,-617.1999999999971,338.0,135.0,269.0,7.0,5.0,72.0,349.0,0.0,0.0,0.0,0.0
2010-05-20,-617.1999999999971,338.0,135.0,269.0,7.0,5.0,72.0,349.0,0.0,0.0,0.0,0.0
2010-05-21,-617.1999999999971,714.0,558.0,627.0,3.0,5.0,73.0,303.0,0.0,0.0,0.0,0.0
2010-05-22,-617.1999999999971,714.0,558.0,627.0,3.0,5.0,73.0,303.0,0.0,0.0,0.0,0.0
2010-05-23,-617.1999999999971,714.0,558.0,627.0,3.0,5.0,73.0,303.0,0.0,0.0,0.0,0.0
2010-05-24,-617.1999999999971,714.0,558.0,627.0,3.0,5.0,73.0,303.0,0.0,0.0,0.0,0.0
2010-05-25,-617.1999999999971,714.0,558.0,627.0,3.0,5.0,73.0,303.0,0.0,0.0,0.0,0.0
2010-05-26,-617.1999999999971,714.0,558.0,627.0,3.0,5.0,73.0,303.0,0.0,0.0,0.0,0.0
2010-05-27,-617.1999999999971,714.0,558.0,627.0,3.0,5.0,73.0,303.0,0.0,0.0,0.0,0.0
2010-05-28,-617.1999999999971,714.0,558.0,627.0,3.0,7.0,65.0,280.0,0.0,0.0,0.0,0.0
2010-05-29,-617.1999999999971,714.0,558.0,627.0,3.0,7.0,65.0,280.0,0.0,0.0,0.0,0.0
2010-05-30,-617.1999999999971,714.0,558.0,627.0,3.0,7.0,65.0,280.0,0.0,0.0,0.0,0.0
2010-05-31,-617.1999999999971,714.0,558.0,627.0,3.0,7.0,65.0,280.0,0.0,0.0,0.0,0.0
2010-06-01,-617.1999999999971,714.0,558.0,627.0,3.0,7.0,65.0,280.0,0.0,0.0,0.0,0.0
2010-06-02,-616.8000000000029,694.0,422.0,573.0,6.0,7.0,65.0,280.0,0.0,0.0,0.0,0.0
2010-06-03,-617.0,694.0,422.0,573.0,6.0,7.0,73.0,270.0,0.0,0.0,0.0,0.0
2010-06-04,-616.7999999999956,694.0,422.0,573.0,6.0,7.0,73.0,270.0,0.0,0.0,0.0,0.0
2010-06-05,-617.0,694.0,422.0,573.0,6.0,7.0,73.0,270.0,0.0,0.0,0.0,0.0
2010-06-06,-616.8000000000029,694.0,422.0,573.0,6.0,7.0,73.0,270.0,0.0,0.0,0.0,0.0
2010-06-07,-617.0,694.0,422.0,573.0,6.0,7.0,73.0,270.0,0.0,0.0,0.0,0.0
2010-06-08,-616.8999999999942,694.0,422.0,573.0,6.0,7.0,73.0,270.0,0.0,0.0,0.0,0.0
2010-06-09,-617.0999999999985,694.0,422.0,573.0,6.0,6.0,73.0,261.0,0.0,0.0,0.0,0.0
2010-06-10,-617.2000000000044,694.0,422.0,573.0,6.0,6.0,73.0,261.0,0.0,0.0,0.0,0.0
2010-06-11,-617.0,694.0,422.0,573.0,6.0,6.0,73.0,261.0,0.0,0.0,0.0,0.0
2010-06-12,-616.9000000000015,694.0,422.0,573.0,6.0,6.0,73.0,261.0,0.0,0.0,0.0,0.0
2010-06-13,-617.0,694.0,422.0,573.0,6.0,6.0,73.0,261.0,0.0,0.0,0.0,0.0
2010-06-14,-617.0999999999985,694.0,422.0,573.0,6.0,6.0,73.0,261.0,0.0,0.0,0.0,0.0
2010-06-15,-617.0,694.0,422.0,573.0,6.0,6.0,73.0,261.0,0.0,0.0,0.0,0.0
2010-06-16,-617.0,860.0,226.0,552.0,7.0,6.0,73.0,261.0,0.0,0.0,0.0,0.0
2010-06-17,-616.5999999999985,860.0,226.0,552.0,7.0,5.0,78.0,262.0,0.0,0.0,0.0,0.0
2010-06-18,-616.9000000000015,860.0,226.0,552.0,7.0,5.0,78.0,262.0,0.0,0.0,0.0,0.0
2010-06-19,-616.8999999999942,860.0,226.0,552.0,7.0,5.0,78.0,262.0,0.0,0.0,0.0,0.0
2010-06-20,-616.9000000000015,860.0,226.0,552.0,7.0,5.0,78.0,262.0,0.0,0.0,0.0,0.0
2010-06-21,-617.0999999999985,860.0,226.0,552.0,7.0,5.0,78.0,262.0,0.0,0.0,0.0,0.0
2010-06-22,-617.0,860.0,226.0,552.0,7.0,5.0,78.0,262.0,0.0,0.0,0.0,0.0
2010-06-23,-617.0999999999985,860.0,226.0,552.0,7.0,5.0,78.0,262.0,0.0,0.0,0.0,0.0
2010-06-24,-617.0999999999985,860.0,226.0,552.0,7.0,5.0,77.0,267.0,0.0,0.0,0.0,0.0
2010-06-25,-617.2999999999956,860.0,226.0,552.0,7.0,5.0,77.0,267.0,0.0,0.0,0.0,0.0
2010-06-26,-617.1999999999971,860.0,226.0,552.0,7.0,5.0,77.0,267.0,0.0,0.0,0.0,0.0
2010-06-27,-616.6999999999971,860.0,226.0,552.0,7.0,5.0,77.0,267.0,0.0,0.0,0.0,0.0
2010-06-28,-616.7000000000044,860.0,226.0,552.0,7.0,5.0,77.0,267.0,0.0,0.0,0.0,0.0
2010-06-29,-616.7999999999956,860.0,226.0,552.0,7.0,5.0,77.0,267.0,0.0,0.0,0.0,0.0
2010-06-30,-616.8000000000029,860.0,226.0,552.0,7.0,5.0,77.0,267.0,0.0,0.0,0.0,0.0
2010-07-01,-616.9000000000015,860.0,226.0,552.0,7.0,5.0,77.0,267.0,0.0,0.0,0.0,0.0
2010-07-02,-616.6999999999971,860.0,226.0,552.0,7.0,5.0,77.0,267.0,-0.8196918333333333,0.3746913333333333,0.0,0.0
2010-07-03,-617.5999999999985,860.0,226.0,552.0,7.0,5.0,77.0,267.0,-3.3255343333333336,1.5158418333333332,0.0,0.0
2010-07-04,-616.6999999999971,860.0,226.0,552.0,7.0,5.0,77.0,267.0,-3.390022416666667,1.573705583333333,0.0,0.0
2010-07-05,-616.6999999999971,860.0,226.0,552.0,7.0,5.0,77.0,267.0,-3.4347366666666663,1.61063525,0.0,0.0
2010-07-06,-616.8000000000029,860.0,226.0,552.0,7.0,5.0,77.0,267.0,-3.468780583333334,1.61378875,0.0,0.0
2010-07-07,-616.8000000000029,860.0,226.0,552.0,7.0,7.0,71.0,254.0,-3.5118189166666665,1.6123905,0.0,0.0
2010-07-08,-616.8000000000029,860.0,226.0,552.0,7.0,7.0,71.0,254.0,-3.549541916666667,1.5959784166666668,0.0,0.0
2010-07-09,-616.8999999999942,860.0,226.0,552.0,7.0,7.0,71.0,254.0,-3.585598916666666,1.5735270833333337,0.0,0.0
2010-07-10,-616.8000000000029,860.0,226.0,552.0,7.0,7.0,71.0,254.0,-3.6049066666666665,1.5570158333333337,0.0,0.0
2010-07-11,-616.8000000000029,860.0,226.0,552.0,7.0,7.0,71.0,254.0,-3.622369916666667,1.5455918333333332,0.0,0.0
2010-07-12,-616.8000000000029,860.0,226.0,552.0,7.0,7.0,71.0,254.0,-3.6512175,1.5728329166666668,0.0,0.0
2010-07-13,-616.7999999999956,860.0,226.0,552.0,7.0,7.0,71.0,254.0,-3.6913899166666666,1.6294372499999998,0.0,0.0
2010-07-14,-616.7999999999956,860.0,226.0,552.0,7.0,7.0,71.0,254.0,-3.7308384166666655,1.650311833333333,0.0,0.0
2010-07-15,-616.7999999999956,860.0,226.0,552.0,7.0,7.0,71.0,254.0,-3.7473794166666665,1.64514525,0.0,0.0
2010-07-16,-616.7999999999956,860.0,226.0,552.0,7.0,7.0,71.0,254.0,-3.7754931666666662,1.6321940833333333,0.0,0.0
2010-07-17,-616.7999999999956,860.0,226.0,552.0,7.0,7.0,71.0,254.0,-3.8077025,1.6227930833333335,0.0,0.0
2010-07-18,-616.8000000000029,860.0,226.0,552.0,7.0,7.0,71.0,254.0,-3.8343981666666656,1.5963949166666669,0.0,0.0
2010-07-19,-616.5999999999985,860.0,226.0,552.0,7.0,7.0,71.0,254.0,-3.85366625,1.5748162499999998,0.0,0.0
2010-07-20,-616.5999999999985,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.5533796666666664,1.4202055,0.0,0.0
2010-07-21,-616.5999999999985,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.8917363333333337,1.52394375,0.0,0.0
2010-07-22,-616.5,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.904439583333333,1.4965539166666666,0.0,0.0
2010-07-23,-617.1000000000058,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.9074939166666662,1.4627579166666669,0.0,0.0
2010-07-24,-616.3000000000029,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.90650225,1.429685833333333,0.0,0.0
2010-07-25,-616.6000000000058,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.921764,1.4273355833333332,0.0,0.0
2010-07-26,-616.5,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.94247,1.46013,0.0,0.0
2010-07-27,-616.4000000000015,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.94247,1.46013,0.0,0.0
2010-07-28,-616.3000000000029,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.94247,1.46013,0.0,0.0
2010-07-29,-616.1999999999971,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.9227556666666663,1.3911000833333331,0.0,0.0
2010-07-30,-616.2000000000044,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.891994166666666,1.3214850833333334,0.0,0.0
2010-07-31,-616.0,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.89251975,1.3052019166666666,0.0,0.0
2010-08-01,-616.3000000000029,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.89722025,1.29010875,0.0,0.0
2010-08-02,-616.1999999999971,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.906095666666667,1.2585935833333333,0.0,0.0
2010-08-03,-616.3000000000029,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.909913583333333,1.2299344166666666,0.0,0.0
2010-08-04,-616.1999999999971,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.9105185,1.2118563333333332,0.0,0.0
2010-08-05,-615.4000000000015,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.9068096666666654,1.2005810833333337,0.0,0.0
2010-08-06,-615.5999999999985,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.9140885,1.1768703333333332,0.0,0.0
2010-08-07,-615.7999999999956,510.0,225.0,339.0,7.0,7.0,71.0,254.0,-3.920623583333333,1.1410513333333332,0.0,0.0
